product_name,avg_price_per_item
Acorn Squash 1 Count,4.722026144
Anise (Fennel) 1 Count,4.411568627
Anjou Pears Large 1 Count,1.264193548
Apple Fuji 1 Count,1.818176796
Apple Granny Smith Large 1 Count,1.408956044
Apple Honeycrisp Large 1 Count,1.973435583
Apple Honeycrisp Large 1 EA,2.29
Apple Pink Lady Large 1 Count,1.321318681
Apple Red Delicious Large 1 Count,1.245494505
Apples Royal Gala 1 Count,1.255384615
Artichoke 1 Count,4.302418301
Ataulfo Mango 1 Count,2.48245283
Atemoya Size 12/14 1 Count,4.99
Avocado Case 20 Pack (Ripe in 3-5 days),27.99
Awe Sum Organics Gold Kiwifruit 454 g,8.99
Banana 1 Count (ripe in 3 days),0.37
Banana 1 Count (ripe in 3-4 days),0.37
Banana Plantain 1 Count,1.480909091
Basket Cucumber 3 L,7.99
Basket Green Bean 1.5LT Green Bean,4.99
Basket Green Beans 1.5 L,4.99
Basket Yellow Beans 1.5 L,4.99
Bell Peppers Mix 4 Pack,4.99
Bella Mexican Mangoes Case 1 EA,32.99
Black Figs Case,21.99
Blueberries Pint 340 g,4.694693878
Boston Single Dome Lettuce 1 Count,3.608181818
Breadfruit 1 Count,6.99
Breadfruit 1 Count,6.99
Breadnut 1 Count,6.99
Broccoli 1 Count,3.917966102
Broccoli 1 EA,4.163076923
Broccoli Crowns 1 Count,3.524027778
Broccoli Crowns 1 EA,3.557567568
Broccoli Large 1 Count,4.354864865
Butterball Frozen Turkey Stuffed 7-9 kg,58.9095935
Butterball Frozen Young Turkey Seasoned With Giblets 3-5 kg,37.42666667
Butterball Frozen Young Turkey Seasoned With Giblets 7-9 kg,57.10824742
Butterball Frozen Young Turkey With Giblets Seasoned 5-7 kg,48.65979381
Buttercup / Kabocha Squash 1 EA,5.703414634
Butternut Squash 1 Count,5.498379888
Cabbage Red 1 Count,4.99
Cantaloupe Large 1 Count,4.691680672
Cantaloupe Large 1 Count,5.717272727
Cantaloupe Large 1 EA,4.832105263
Carrots 2.27 kg,6.99
Carving Pumpkin 1 Count,4.159855072
Cauliflower 1 Count,4.572872928
Celery 1 Count,3.694545455
Celery Cello 1 Bunch,2.980948905
Cherries Red 454 g,7.621212121
Chinese Cauliflower 1 Count,5.29
Chinese Leek,2.29
Chinese Okra 1 Count,3.19
Cilantro / Coriander 1 Bunch,2.701351351
Clementines / Mandarines 4 lbs,5.97
Collard Greens 1 Bunch,4.49
Compliments Bell Pepper Green 4 Pack,7.328983051
Compliments Bell Pepper Red 4 Pack,7.328983051
Corn Husks 1 Count,4.99
Corn On The Cob Unpeeled 1 Count,0.723125
Corn On The Cob Unpeeled 1 EA,0.88
Cubanelle Pepper 3 Pack,2.49
